n,Rodada,Data,Mandante,Visitante,prob_H,prob_D,prob_A,gols_esperados_mandante,gols_esperados_visitante,gols_esperados_total,prob_over_25,prob_under_25,prob_ambas_marcam,prob_mandante_marca,prob_visitante_marca,placar_mais_provavel,prob_placar_mais_provavel,multigols_0_1,multigols_0_2,multigols_0_3,multigols_1_2,multigols_1_3,multigols_1_4,multigols_2_3,multigols_2_4,multigols_2_5,multigols_3_4,multigols_3_5,multigols_3_6,mais_de_0_5,mais_de_1_5,mais_de_2_5,mais_de_3_5,mais_de_4_5,escanteios_mandante,escanteios_visitante,escanteios_total,escanteios_mais_7_5,escanteios_mais_8_5,escanteios_mais_9_5,escanteios_mais_10_5,escanteios_mais_11_5,escanteios_mais_12_5,cartoes_mandante,cartoes_visitante,cartoes_total,cartoes_mais_2_5,cartoes_mais_3_5,cartoes_mais_4_5,cartoes_mais_5_5,cartoes_mais_6_5,sem_historico_stats,situacao,palpite_1x2,palpite_seguro,palpite_seguro_prob,dupla_1x,dupla_12,dupla_x2,menos_de_2_5,ambas_nao
41,32,2026-10-25,Santos,Bahia,0.4526730387851346,0.25069083320074637,0.296636128014119,1.523397663790077,1.182857246214067,2.706254910004144,0.507907788698148,0.49209221130185204,0.5410018467049986,0.7820311646589975,0.6935981268702446,1-1,0.11893297579911571,0.24894011213130746,0.49209221130185204,0.71271171218382,0.4267196561260954,0.6473391570080633,0.7966026781880788,0.46377160005251256,0.613035121232528,0.693824348534702,0.36988302206198326,0.45067224936415745,0.4871117133653828,0.9346274448242433,0.7510598878686926,0.507907788698148,0.2872882878161799,0.13802476663616453,5.316753613332839,4.82328653256971,10.14004014590255,0.7599855166813665,0.6556276553109084,0.5432438072420988,0.43196745998639186,0.32968696890337057,0.24172564732922963,3.035801387725406,2.549736507640685,5.585537895366091,0.9027156569611583,0.789576108105722,0.6403467910832294,0.4793080312143836,0.3312751932999627,não,programado,Casa,Multi-gols 1-4,0.7966026781880788,0.703363871985881,0.7493091667992535,0.5473269612148653,0.492092211301852,0.4589981532950014
42,32,2026-10-25,Vasco,Corinthians,0.41215690248469117,0.2673111107217391,0.3205319867935699,1.331668720880232,1.1400710748413552,2.471739795721587,0.44891790529658776,0.5510820947034124,0.499099930854435,0.735964112241475,0.6802038156881747,1-1,0.12668755454845837,0.294651458661136,0.5510820947034124,0.7635994141028576,0.46815009177862665,0.6806674111780718,0.8119894001709136,0.46894795544172163,0.6002699444345633,0.66518875610326,0.3438393083922869,0.40875812006098367,0.4355018775281446,0.9170679970752146,0.7053485413388642,0.44891790529658776,0.2364005858971426,0.10507859690430082,5.061585363318113,4.001713443680379,9.063298806998493,0.6584593547368518,0.5380921220680828,0.41959885129928876,0.3123483492781618,0.2222335829862534,0.15138982585485783,2.842173481141913,2.5389546042635174,5.381128085405431,0.88952320853458,0.7667574918611094,0.6100706739108979,0.4464551996162891,0.30092012534381696,não,programado,Casa,Multi-gols 1-4,0.8119894001709136,0.6794680132064302,0.732688889278261,0.587843097515309,0.5510820947034123,0.500900069145565
43,32,2026-10-25,Vitoria,Athletico-PR,0.34677540710245,0.27981178073964424,0.3734128121579058,1.1273619546741656,1.181376264983842,2.308738219658008,0.40627726153921556,0.5937227384607843,0.4670893649290787,0.676113539415575,0.6931440134605554,1-1,0.13081219281328377,0.3303986821214201,0.5937227384607843,0.7975680409944245,0.49589092640783583,0.699736228941476,0.8173926331183078,0.4671693588730044,0.584825763049836,0.6391533507715593,0.3215017067104718,0.37582929443219515,0.3967339986024389,0.9021681879470514,0.6696013178785798,0.40627726153921556,0.20243195900557542,0.08477555482874378,4.669227620183112,4.677463967281102,9.346691587464214,0.6876854628770677,0.5708630936350363,0.45296877006628034,0.34357816743978886,0.24935490976655206,0.17341934735542386,2.8685956463092506,2.5528808513654293,5.42147649767468,0.8922528127895762,0.7714179062989089,0.6161738907856524,0.45299127809445794,0.3068798187781344,não,programado,Fora,Multi-gols 1-4,0.8173926331183078,0.6265871878420942,0.7201882192603557,0.65322459289755,0.5937227384607844,0.5329106350709213
44,33,2026-10-28,Atletico-MG,Cruzeiro,0.4378557505456411,0.2783396104530993,0.2838046390012595,1.2909465201017785,0.9794408752279224,2.270387395329701,0.3960938932174814,0.6039061067825187,0.45120734380750455,0.7249899536581615,0.624479024602891,1-0,0.13485248694057483,0.3392733943637659,0.6039061067825187,0.8053398295873179,0.5021677412360668,0.703601464040866,0.8179346778365342,0.46606643522355196,0.5803996490192201,0.6323158171556291,0.3157669366004674,0.3676831047368765,0.38732808529041896,0.8982616344535481,0.6607266056362339,0.3960938932174814,0.1946601704126821,0.08032695661701389,5.365442202266371,4.6781464276115505,10.04358862987792,0.7519424049614092,0.6459200990412607,0.5326042634637366,0.4212506793394216,0.3196705467089602,0.23296989765049547,2.6079472234251044,3.0161682903781917,5.6241155138032966,0.9050335721546947,0.7936648385213239,0.6458788726247839,0.48542889353359864,0.337041325635543,não,programado,Casa,Multi-gols 1-4,0.8179346778365342,0.7161953609987404,0.7216603895469006,0.5621442494543588,0.6039061067825187,0.5487926561924954
45,33,2026-10-28,Bahia,Sao Paulo,0.451622690447422,0.26659911988274737,0.28177818966983054,1.3894381874161585,1.0357880654437408,2.425226252859899,0.4368685292600406,0.5631314707399593,0.4828014380855278,0.7507852946427072,0.6450534964654318,1-1,0.1258103742676258,0.304483761674612,0.5631314707399593,0.7734335427085817,0.47616882376257025,0.6864708957311928,0.8139785643294313,0.4689497810339698,0.5964574496322083,0.658304507625185,0.33780974056686097,0.39965679855983766,0.42465567787194486,0.9130373530226109,0.6955162383253881,0.4368685292600406,0.2265664572914181,0.0990587886931797,5.459562220790945,4.7228992680455315,10.182461488836477,0.7634585602625296,0.6598422658506207,0.5478882141415635,0.43667105199274037,0.33410709127750904,0.24561045659262803,2.4099991465823543,3.0215122901889857,5.4315114367713395,0.8929218486730695,0.7725649107867587,0.6176821943351011,0.45461321927297993,0.3083648246569439,não,programado,Casa,Multi-gols 1-4,0.8139785643294313,0.7182218103301694,0.7334008801172525,0.5483773095525779,0.5631314707399594,0.5171985619144722
46,33,2026-10-28,Bragantino,Chapecoense-SC,0.6526218856933692,0.20052208610763414,0.1468560281989966,2.035486375772566,0.8412579437115961,2.8767443194841626,0.5486531738728057,0.45134682612719446,0.49340637223671036,0.8693934742155518,0.5688322095819355,2-0,0.11666908097654248,0.21945005012031898,0.45134682612719446,0.6748091269150157,0.3961661376879713,0.6196284384757926,0.7803444148368099,0.45535907679469684,0.6160750531557141,0.7085456845476299,0.3841782771488387,0.4766489085407545,0.5209860152368339,0.9448193115607769,0.7805499498796811,0.5486531738728057,0.32519087308498423,0.16447489672396695,7.230438643762209,3.7628250424765883,10.993263686238798,0.8225174721443187,0.733777455437891,0.6319642705743194,0.5245631594099452,0.41939010013449995,0.3230273386915179,1.9015733424472976,2.3799611670348466,4.281534509482144,0.7858016132880687,0.6080685877304159,0.42320302020887146,0.2658842726776476,0.15184450774741876,não,programado,Casa,Casa ou empate (1X),0.8531439718010033,0.8531439718010033,0.7994779138923658,0.34737811430663074,0.45134682612719434,0.5065936277632896
47,33,2026-10-28,Corinthians,Mirassol,0.43332332266560886,0.2678696772107803,0.29880700012361094,1.3579424977381338,1.077905844454744,2.4358483421928776,0.439629113862875,0.560370886137125,0.48852228822372196,0.7428110730149948,0.659692628905795,1-1,0.12660634314155236,0.30222164231267235,0.560370886137125,0.77119695954153,0.47435229983419297,0.685178373238598,0.8135635780256096,0.4689753172288577,0.5973605220158693,0.6599059578513538,0.3392112781914166,0.4017567140269011,0.42714860368129776,0.913981413697068,0.6977783576873278,0.439629113862875,0.22880304045847008,0.1004178356714584,5.870453929948049,4.823194334508221,10.69364826445627,0.8022772266721335,0.7079345438379765,0.6019996284776392,0.4926316309765042,0.38781447359381294,0.2938240747418168,2.289226967964176,3.3079180940864394,5.597145062050616,0.9034185982717831,0.7908134622831499,0.6420174082724284,0.48115254793984397,0.3330091370310343,não,programado,Casa,Multi-gols 1-4,0.8135635780256096,0.7011929998763892,0.7321303227892197,0.5666766773343912,0.560370886137125,0.5114777117762781
48,33,2026-10-28,Coritiba,Vitoria,0.46179293947687433,0.25412791759134706,0.2840791429317787,1.5020383060209834,1.119058328912821,2.6210966349338047,0.48685475634831776,0.5131452436516825,0.5220251420881346,0.7773252594547454,0.6734129035724765,1-1,0.12080204331417392,0.2647720455323503,0.5131452436516825,0.731403487845033,0.4418582645907695,0.6601165087841201,0.8031358070456431,0.4666314423126826,0.6096507405742058,0.6846243838409343,0.36127754245487353,0.4362511857216021,0.46900345093460444,0.9287130209390873,0.73522795446765,0.48685475634831776,0.26859651215496716,0.1255772138934442,4.335673058744093,4.67782326389942,9.013496322643512,0.6531410595567229,0.5322153067943207,0.41370176391375724,0.3069100890948533,0.21757999432074948,0.14766550501383158,2.2173988957953483,3.161257033155734,5.3786559289510825,0.8893538875542131,0.766469409522289,0.6096947236990535,0.44605399432324067,0.3005555816335085,não,programado,Casa,Multi-gols 1-4,0.8031358070456431,0.7159208570682214,0.7458720824086531,0.5382070605231257,0.5131452436516822,0.47797485791186545
49,33,2026-10-28,Fluminense,Internacional,0.4887560306745764,0.2647259428750282,0.2465180264503956,1.4364324082165183,0.9340747583309045,2.370507166547423,0.4225678758659968,0.5774321241340032,0.4612375760538775,0.7622262208852315,0.6070507476901237,1-0,0.13568298058733497,0.31638944781132866,0.5774321241340032,0.7848637433344041,0.4854715166554807,0.6929031358558817,0.8158328560215491,0.4684742955230755,0.5914040156887431,0.6496852600169177,0.3303613393660685,0.3886425836942431,0.41166863627576966,0.9080393925214776,0.6836105521886714,0.4225678758659968,0.2151362566655958,0.09220653649992834,4.950135469115323,4.396484704723824,9.346620173839147,0.6876783221469536,0.5708549866253279,0.4529604120354427,0.3435702483836591,0.2493479475464836,0.1734136226593337,2.3997067141148447,3.061410613839056,5.4611173279539,0.8948731610151051,0.7759210349030905,0.6221096875373457,0.4593896253330024,0.3127520712092807,não,programado,Casa,Multi-gols 1-4,0.8158328560215491,0.7534819735496046,0.7352740571249721,0.5112439693254238,0.5774321241340032,0.5387624239461225
50,33,2026-10-28,Gremio,Athletico-PR,0.42891808751741406,0.26592088063850366,0.30516103184408216,1.3665577600631256,1.1073256793179216,2.473883439381047,0.4494707934776387,0.5505292065223614,0.4973352398043419,0.7450173352779337,0.6695585961385113,1-1,0.12600221334775255,0.2941961339378915,0.5505292065223614,0.7631436967833798,0.4677698981344641,0.6803843883954825,0.8118803857885798,0.46894756284548833,0.6004435602385857,0.665504779007552,0.3441104876541158,0.4091717064230821,0.43599737838028724,0.9172406916121028,0.7058038660621087,0.4494707934776387,0.23685630321662018,0.10536030582352285,4.797317172146006,4.7176351468563,9.514952319002306,0.7041938761626948,0.5897399088010774,0.47257006373192756,0.36228388363971475,0.26591932994944667,0.18713814081442037,2.588077366554827,2.8791991428246457,5.467276509379473,0.8952749131286367,0.7766140281902975,0.6230265575207755,0.4603816195320356,0.31366588387934136,não,programado,Casa,Multi-gols 1-4,0.8118803857885798,0.6948389681559177,0.7340791193614962,0.5710819124825859,0.5505292065223613,0.5026647601956581
51,33,2026-10-28,Remo,Botafogo RJ,0.31548797223504627,0.2498944350473209,0.43461759271763295,1.246586880776443,1.5080942326968896,2.7546811134733327,0.5196753695049359,0.4803246304950642,0.5534095692291415,0.7125158886188295,0.778669727922571,1-1,0.11821606878986182,0.24031176350700004,0.4803246304950642,0.7020015510762276,0.418100677807323,0.6397775983884865,0.7924402648104262,0.4616897875692276,0.6143524539911672,0.6984600450131142,0.37433958700310305,0.4584471780250499,0.4970622011198431,0.9377760473122589,0.7596882364930001,0.5196753695049359,0.29799844892377236,0.1453357825018328,4.6433244971309255,5.5286117097850696,10.171936206915994,0.7626005149266916,0.6587997154902665,0.5467379195509091,0.4355046525275237,0.3330096268711331,0.24464470826733709,2.0802441251290573,2.269768418069831,4.350012543198888,0.7941832743534376,0.6197762249097462,0.4357466639212505,0.2768745395874668,0.16004324294431804,não,programado,Fora,Multi-gols 1-4,0.7924402648104262,0.5653824072823672,0.7501055649526792,0.6845120277649539,0.48032463049506413,0.44659043077085847
52,33,2026-10-28,Santos,Palmeiras,0.2692912340315845,0.26105876567523234,0.46965000029318327,1.0286040276620105,1.450732879597287,2.4793369072592975,0.45087643674428607,0.5491235632557139,0.49042649724281234,0.6424943628303854,0.7656023740634581,1-1,0.12357820583407356,0.29303216631599893,0.5491235632557139,0.7619833352020556,0.4667938029067454,0.679653574853087,0.8115915600870658,0.4689511688860566,0.6008891541200354,0.6663130030264967,0.34479775718032035,0.4102216060867817,0.4372562769471411,0.9176702396510314,0.7069678336840011,0.45087643674428607,0.2380166647979445,0.1060786795639658,5.00195075412571,5.643350310785899,10.64530106491161,0.7988409411905563,0.7036014094077636,0.5970378114447135,0.48741000261570444,0.38271557353551056,0.28916737904286416,2.904105358050567,2.3344517462987406,5.238557104349308,0.879354416293922,0.7496586806797062,0.5880165022585402,0.4231925779477175,0.28002746939524004,não,programado,Fora,Multi-gols 1-4,0.8115915600870658,0.5303499997068168,0.7389412343247678,0.7307087659684156,0.5491235632557139,0.5095735027571877
53,33,2026-10-28,Vasco,Flamengo RJ,0.2467184091009861,0.23446667586720796,0.5188149150318061,1.1197169863348635,1.7339379598292644,2.8536549461641285,0.5432411886352865,0.4567588113647136,0.5533615313074252,0.6736279422919956,0.82341562866449,1-1,0.11058119034378662,0.22341008745950203,0.4567588113647136,0.6799761706323048,0.4004408510137739,0.6236582102813651,0.7829057148947008,0.4565660831728028,0.6158135877861385,0.7067017438284228,0.3824648638809269,0.47335301992321127,0.5165805780191456,0.9436820396490605,0.7765899125404981,0.5432411886352865,0.32002382936769547,0.1607763247543597,4.484022302529971,4.5906255146068125,9.074647817136784,0.6596637352607964,0.5394266306584155,0.42094162944212643,0.31359003979823963,0.22329901901326,0.15224483703081693,2.261128240285479,2.1624756243267647,4.423603864612243,0.8028700100914273,0.6320903527855546,0.44913624088883997,0.28878040533571525,0.16905708718216328,não,programado,Fora,Multi-gols 1-4,0.7829057148947008,0.48118508496819407,0.7655333241327922,0.753281590899014,0.4567588113647135,0.44663846869257484
54,34,2026-11-04,Athletico-PR,Vasco,0.5608292264032935,0.2324985058965196,0.20667226770018704,1.748808343916351,0.9592677257001954,2.7080760696165465,0.5083561067410661,0.4916438932589339,0.5081990658733141,0.8260223433190085,0.6168266518000095,1-0,0.11789688822283062,0.2485087350320344,0.4916438932589339,0.7123076082677393,0.42629382250463776,0.6469575375134431,0.7963523104454174,0.46379887323570484,0.6131936461676791,0.6941088004457824,0.3700584879407796,0.4509736422188831,0.48749467785796413,0.9346499292457038,0.7514912649679656,0.5083561067410661,0.2876923917322607,0.1382976188002864,5.550670417273133,3.9227715653008004,9.473441982573933,0.7001800182665427,0.5851252634609851,0.4677523575312581,0.3576614688460674,0.2618040173018439,0.18371150804768743,1.9221337658860436,2.521406594979066,4.443540360865109,0.8051671806607414,0.635378254424652,0.4527457888745846,0.29202089046934565,0.17153402139880247,não,programado,Casa,Multi-gols 1-4,0.7963523104454174,0.7933277322998131,0.7675014941034806,0.43917077359670664,0.4916438932589339,0.4918009341266859
55,34,2026-11-04,Botafogo RJ,Atletico-MG,0.48862505663144257,0.2559640495558895,0.2554108938126679,1.5080055072145935,1.0117752815559127,2.519780788770506,0.46125197600950735,0.5387480239904927,0.4941118061490518,0.7786500887973287,0.636427075386017,1-0,0.12280215259442612,0.28470346830949145,0.5387480239904927,0.7533387101870702,0.4597133820247868,0.6743040682213642,0.8094847466022068,0.46863524187757877,0.6038159202584213,0.6719412098742621,0.34977136457742014,0.4178966541932609,0.4465068516763102,0.9209653580342939,0.7152965316905084,0.46125197600950735,0.2466612898129297,0.1114806114320871,4.998052717314469,4.274094857782222,9.27214757509669,0.6801699555202144,0.5623580218861918,0.4442285098279827,0.33532352201214966,0.24212090387653395,0.1674902148182148,2.651803927355586,2.730510729660427,5.382314657016012,0.8896043925073703,0.7668956596223223,0.6102510383752722,0.44664773823333126,0.3010951226448013,não,programado,Casa,Multi-gols 1-4,0.8094847466022068,0.744589106187332,0.7440359504441105,0.5113749433685574,0.5387480239904927,0.5058881938509482
